step,seg,elapsed_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
94,0,279.56,0.42,-0.20,0.63,-0.51,-0.92,0.79,0,0.00,0.87,0.00,0.07,0,0,0,-0.12,0,,36.5
95,0,279.53,0.41,-0.24,0.64,-0.52,-1.06,0.13,0,0.00,0.48,0.75,0.00,0,0,0,-0.12,0,,36.5
96,0,279.50,0.39,-0.27,0.63,-0.66,-1.14,-0.53,1,0.00,0.58,0.68,0.00,0,0,0,-0.02,0,,36.5
97,0,279.47,0.37,-0.31,0.61,-0.75,-1.25,-1.13,0,0.00,0.76,0.55,0.00,0,0,0,-0.12,0,,36.5
98,0,279.43,0.34,-0.35,0.59,-0.05,-1.21,7.43,0,0.73,0.00,0.00,0.56,1,0,0,-0.12,0,,36.5
99,0,279.40,0.34,-0.39,0.82,0.01,-1.10,6.77,0,0.67,0.00,0.52,0.00,1,0,0,-0.12,0,,36.5
100,0,279.37,0.34,-0.42,1.02,-0.08,-1.00,6.17,0,0.08,0.00,0.00,0.88,0,0,0,-0.12,0,,36.5
101,0,279.34,0.34,-0.45,1.21,0.02,-1.03,5.51,0,0.00,0.65,0.00,0.56,0,0,0,-0.12,0,,36.5
102,0,279.31,0.34,-0.49,1.38,0.11,-1.13,4.85,0,0.00,0.33,0.00,0.82,0,0,0,-0.12,0,,36.5
103,0,279.27,0.35,-0.52,1.51,0.22,-1.15,4.25,0,0.84,0.00,0.00,0.33,1,0,0,-0.12,0,,36.5
104,0,279.24,0.36,-0.56,1.64,0.28,-1.03,3.59,0,0.65,0.00,0.00,0.64,0,0,0,-0.12,0,,36.5
105,0,279.21,0.37,-0.59,1.75,0.37,-0.92,2.93,0,0.81,0.00,0.00,0.34,1,0,0,-0.12,0,,36.5
106,0,279.18,0.38,-0.62,1.83,0.39,-0.83,2.33,0,0.00,0.45,0.73,0.00,1,0,0,-0.12,0,,36.5
107,0,279.15,0.39,-0.65,1.89,0.29,-0.88,1.67,0,0.90,0.00,0.00,0.21,1,0,0,-0.12,0,,36.5
108,0,279.11,0.40,-0.67,1.93,0.29,-0.76,1.01,0,0.00,0.20,0.90,0.00,1,0,0,-0.12,0,,36.5
109,0,279.08,0.41,-0.70,1.95,0.21,-0.74,0.41,0,0.86,0.00,0.00,0.14,0,0,0,-0.12,0,,36.5
110,0,279.05,0.41,-0.72,1.96,0.25,-0.61,-0.25,0,0.70,0.00,0.00,0.59,0,0,0,-0.12,0,,36.5
111,0,279.02,0.42,-0.74,1.94,0.35,-0.51,-0.91,0,0.22,0.00,0.00,0.93,0,0,0,-0.12,0,,36.5
112,0,278.99,0.44,-0.75,1.90,0.43,-0.49,-1.51,0,0.00,0.21,0.89,0.00,1,0,0,-0.12,0,,36.5
113,0,278.95,0.45,-0.77,1.84,0.38,-0.53,-2.17,0,0.00,0.07,0.00,0.85,0,0,0,-0.12,0,,36.5
114,0,278.92,0.46,-0.79,1.75,0.50,-0.52,-2.83,0,0.87,0.00,0.00,0.36,0,0,0,-0.12,0,,36.5
115,0,278.89,0.48,-0.80,1.66,0.53,-0.45,-3.43,0,0.00,0.88,0.03,0.00,1,0,0,-0.12,0,,36.5
116,0,278.86,0.50,-0.82,1.53,0.55,-0.57,-4.09,0,0.25,0.00,0.00,0.87,0,0,0,-0.12,0,,36.5
117,0,278.82,0.52,-0.84,1.39,0.67,-0.56,-4.75,0,0.00,0.85,0.00,0.31,0,0,0,-0.12,0,,36.5
118,0,278.80,0.54,-0.85,1.23,0.73,-0.68,-5.35,0,0.00,0.41,0.00,0.77,1,0,0,-0.12,0,,36.5
119,0,278.76,0.56,-0.88,1.04,0.86,-0.72,-6.01,0,0.13,0.00,0.00,0.91,0,0,0,-0.53,0,,36.9
120,0,278.73,0.60,-0.90,0.83,0.95,-0.71,-6.67,0,0.00,0.11,0.85,0.00,0,0,0,-0.12,0,,36.9
