wall,step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
2.3,153706,0,292.47,-31.45,16.68,0.56,-3.57,4.46,0.00,1,0.25,0.00,0.00,0.84,0,0,0,-0.02,0,,3.4
2.3,153707,0,292.41,-31.65,16.97,0.56,-2.78,4.66,0.00,1,0.76,0.00,0.00,0.54,0,0,0,-0.02,0,,3.4
2.3,153708,0,292.35,-31.80,17.27,0.56,-2.05,4.94,0.00,1,0.49,0.00,0.00,0.79,0,0,0,0.39,0,,3.0
2.3,153709,0,292.28,-31.91,17.60,0.56,-1.23,5.07,0.00,1,0.53,0.00,0.00,0.72,0,0,0,-0.02,0,,3.0
2.4,153710,0,292.22,-31.96,17.92,0.56,-0.44,5.13,0.00,1,0.40,0.00,0.00,0.84,0,0,0,-0.02,0,,3.0
2.4,153711,0,292.15,-31.96,18.25,0.56,0.38,5.15,0.00,1,0.11,0.00,0.00,0.96,0,0,0,-0.43,0,,3.4
2.4,153712,0,292.09,-31.92,18.58,0.56,0.61,4.81,0.00,1,0.00,0.66,0.64,0.00,0,0,0,-0.02,0,,3.4
2.4,153713,0,292.03,-31.89,18.86,0.56,0.69,4.24,0.00,1,0.00,0.11,0.00,0.87,0,0,0,-0.02,0,,3.4
2.5,153714,0,291.96,-31.82,19.12,0.56,1.42,4.02,0.00,1,0.30,0.00,0.00,0.90,0,0,0,-0.02,0,,3.4
2.5,153715,0,291.90,-31.70,19.38,0.56,1.90,3.60,0.00,1,0.00,0.82,0.00,0.35,0,0,0,-0.43,0,,3.8
2.5,153716,0,291.83,-31.57,19.58,0.56,2.31,3.02,0.00,1,0.00,0.04,0.00,0.91,0,0,0,-0.02,0,,3.8
2.5,153717,0,291.77,-31.41,19.76,0.56,2.87,2.53,0.00,1,0.00,0.64,0.00,0.66,0,0,0,-0.02,0,,3.8
2.5,153718,0,291.70,-31.20,19.90,0.56,3.34,1.80,0.00,1,0.00,0.45,0.00,0.77,0,0,0,-0.02,0,,3.8
2.6,153719,0,291.64,-30.98,20.00,0.56,3.85,1.28,0.00,1,0.00,0.36,0.00,0.85,0,0,0,0.98,0,,2.8
2.6,153720,0,291.58,-30.72,20.06,0.56,3.90,0.74,0.00,1,0.00,0.78,0.39,0.00,0,0,0,-0.02,0,,2.8
2.6,153721,0,291.51,-30.48,20.08,0.56,3.67,-0.00,0.00,1,0.00,0.70,0.00,0.49,0,0,0,-0.02,0,,2.8
2.6,153722,0,291.45,-30.25,20.06,0.56,3.76,-0.77,0.00,1,0.00,0.91,0.00,0.17,0,0,0,-0.02,0,,2.8
2.6,153723,0,291.39,-30.01,19.98,0.56,3.76,-1.58,0.00,1,0.00,0.89,0.00,0.21,0,0,0,0.39,0,,2.4
2.7,153724,0,291.32,-29.76,19.85,0.56,3.96,-2.24,0.00,1,0.00,0.60,0.00,0.69,0,0,0,-0.02,0,,2.4
2.7,153725,0,291.26,-29.50,19.70,0.56,4.04,-2.82,0.00,1,0.00,0.88,0.00,0.03,0,0,0,-0.02,0,,2.4
2.7,153726,0,291.19,-29.26,19.50,0.56,3.55,-3.05,0.00,1,0.36,0.00,0.86,0.00,0,0,0,-0.02,0,,2.4
2.7,153727,0,291.13,-29.04,19.30,0.56,3.13,-3.42,0.00,1,0.00,0.91,0.00,0.05,0,0,0,0.39,0,,2.0
2.8,153728,0,291.07,-28.85,19.06,0.56,3.11,-4.04,0.00,1,0.00,0.85,0.00,0.41,0,0,0,10.98,1,arrived,1.0
3.3,153729,1,289.48,47.38,58.62,0.88,0.03,-0.04,-1.92,0,0.00,0.65,0.00,0.60,0,0,0,-0.12,0,,35.8
3.3,153730,1,289.42,47.38,58.62,0.72,0.12,-0.17,-3.18,0,0.00,0.02,0.07,0.00,0,1,0,-0.12,0,,35.8
3.3,153731,1,289.35,47.40,58.58,0.60,0.72,-1.29,1.55,0,0.48,0.00,0.78,0.00,0,0,0,-0.12,0,,35.8
3.3,153732,1,289.29,47.44,58.50,0.66,0.47,-1.15,0.29,0,0.44,0.00,0.79,0.00,0,0,0,-0.12,0,,35.8
3.4,153733,1,289.23,47.46,58.43,0.64,0.32,-1.31,-0.97,1,0.00,0.85,0.31,0.00,0,0,0,-0.02,0,,35.8
3.4,153734,1,289.16,47.47,58.34,0.58,-0.60,-0.84,0.59,0,0.97,0.00,0.24,0.00,0,1,0,-0.12,0,,35.8
3.4,153735,1,289.10,47.43,58.30,0.57,-0.54,-0.61,-0.67,0,0.52,0.00,0.00,0.73,0,0,0,-0.12,0,,35.8
3.4,153736,1,289.04,47.41,58.28,0.56,-0.26,-0.33,0.00,0,0.00,0.82,0.30,0.00,0,0,0,-0.12,0,,35.8
3.4,153737,1,288.97,47.38,58.23,0.56,-0.72,-1.04,0.00,1,0.00,0.59,0.67,0.00,0,0,0,-0.02,0,,35.8
3.5,153738,1,288.91,47.31,58.15,0.56,-1.37,-1.47,0.00,1,0.00,0.39,0.77,0.00,0,0,0,-0.02,0,,35.8
3.5,153739,1,288.84,47.20,58.06,0.56,-2.07,-1.49,0.00,1,0.02,0.00,0.87,0.00,0,0,0,0.39,0,,35.4
3.5,153740,1,288.78,47.04,57.96,0.56,-2.69,-1.67,0.00,1,0.00,0.58,0.66,0.00,0,0,0,-0.02,0,,35.4
3.5,153741,1,288.71,46.86,57.84,0.56,-3.21,-2.06,0.00,1,0.00,0.41,0.80,0.00,0,0,0,0.98,0,,34.4
3.6,153742,1,288.65,46.63,57.70,0.56,-3.81,-2.22,0.00,1,0.00,0.01,0.89,0.00,0,0,0,-0.02,0,,34.4
3.6,153743,1,288.58,46.37,57.55,0.56,-4.18,-2.57,0.00,1,0.00,0.89,0.09,0.00,0,0,0,-0.02,0,,34.4
3.6,153744,1,288.52,46.10,57.36,0.56,-4.39,-3.13,0.00,1,0.00,0.57,0.73,0.00,0,0,0,-0.02,0,,34.4
3.6,153745,1,288.46,45.81,57.15,0.56,-4.75,-3.57,0.00,1,0.00,0.71,0.58,0.00,0,0,0,0.98,0,,33.4
3.6,153746,1,288.39,45.49,56.90,0.56,-4.75,-4.14,0.00,1,0.00,0.94,0.00,0.08,0,0,0,0.39,0,,33.0
3.7,153747,1,288.33,45.19,56.64,0.56,-4.89,-3.76,0.00,1,0.60,0.00,0.66,0.00,0,0,0,-0.02,0,,33.0
