step,seg,time_left_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
143,0,289.98,5.02,-7.48,1.95,1.11,-0.98,-0.04,0,0.00,0.51,0.00,0.71,0,0,0,-0.12,0,,44.4
144,0,289.91,5.10,-7.55,1.91,1.35,-1.05,-1.30,0,0.25,0.00,0.00,0.88,0,0,0,-0.12,0,,44.4
145,0,289.85,5.19,-7.61,1.79,1.61,-1.08,-2.56,0,0.00,0.46,0.00,0.77,0,0,0,-0.12,0,,44.4
146,0,289.79,5.31,-7.69,1.57,1.88,-1.22,-3.88,0,0.00,0.28,0.00,0.88,0,0,0,-0.12,0,,44.4
147,0,289.72,5.43,-7.77,1.29,2.04,-1.15,-5.14,0,0.86,0.00,0.00,0.13,1,0,0,-0.12,0,,44.4
148,0,289.66,5.56,-7.83,0.92,2.16,-0.95,-6.40,0,0.42,0.00,0.00,0.80,0,0,0,-0.12,0,,44.4
149,0,289.59,5.71,-7.89,0.67,2.33,-1.12,7.16,0,0.00,0.68,0.00,0.46,1,0,0,-0.53,0,,44.8
150,0,289.53,5.86,-7.97,1.08,2.32,-1.33,5.90,0,0.00,0.62,0.56,0.00,0,0,0,-0.12,0,,44.8
151,0,289.47,6.01,-8.06,1.41,2.34,-1.56,4.64,0,0.00,0.78,0.00,0.35,0,0,0,-1.12,0,,45.8
152,0,289.40,6.16,-8.17,1.67,2.17,-1.54,3.32,0,0.56,0.00,0.83,0.00,0,1,0,-0.12,0,,45.8
153,0,289.34,6.29,-8.26,1.84,1.97,-1.58,2.06,0,0.00,0.80,0.37,0.00,0,0,0,-0.12,0,,45.8
154,0,289.27,6.41,-8.37,1.93,1.90,-1.86,0.80,0,0.00,0.94,0.04,0.00,0,0,0,-0.12,0,,45.8
155,0,289.21,6.53,-8.50,1.94,1.73,-2.10,-0.52,0,0.00,0.62,0.67,0.00,0,0,0,-0.12,0,,45.8
156,0,289.15,6.63,-8.64,1.86,1.52,-1.99,-1.78,0,0.77,0.00,0.64,0.00,1,1,0,-0.12,0,,45.8
157,0,289.08,6.72,-8.76,1.71,1.33,-1.97,-3.04,0,0.00,0.76,0.39,0.00,0,0,0,-0.12,0,,45.8
158,0,289.02,6.80,-8.89,1.46,1.09,-2.14,-4.36,0,0.00,0.36,0.85,0.00,1,0,0,-0.53,0,,46.2
159,0,288.95,6.86,-9.03,1.15,0.87,-2.07,-5.62,0,0.89,0.00,0.46,0.00,0,1,0,-0.12,0,,46.2
160,0,288.89,6.92,-9.15,0.75,0.90,-1.80,-6.88,0,0.84,0.00,0.00,0.33,0,0,0,-1.12,0,,47.2
161,0,288.82,6.87,-9.26,0.69,-1.73,-1.64,2.89,0,0.00,0.24,0.85,0.00,0,0,0,0.88,0,,46.2
162,0,288.76,6.76,-9.36,0.84,-1.77,-1.61,1.63,0,0.54,0.00,0.00,0.70,0,0,0,-0.12,0,,46.2
163,0,288.70,6.65,-9.46,0.90,-1.63,-1.40,0.37,0,0.90,0.00,0.00,0.13,1,0,0,-0.12,0,,46.2
164,0,288.63,6.55,-9.54,0.88,-1.61,-1.11,-0.95,0,0.91,0.00,0.00,0.12,0,0,0,-0.12,0,,46.2
165,0,288.57,6.45,-9.61,0.77,-1.69,-1.07,-2.21,0,0.00,0.68,0.62,0.00,1,0,0,-0.12,0,,46.2
166,0,288.51,6.34,-9.68,0.59,-1.69,-1.15,-3.47,0,0.34,0.00,0.00,0.86,0,0,0,-0.12,0,,46.2
167,0,288.44,6.32,-9.70,0.63,0.08,-0.10,0.64,0,0.78,0.00,0.00,0.50,0,0,0,-0.12,0,,46.2
168,0,288.38,6.33,-9.70,0.63,0.10,-0.11,-0.62,0,0.00,0.84,0.35,0.00,0,0,0,-0.12,0,,46.2
169,0,288.31,6.33,-9.72,0.57,-0.91,-0.61,0.73,0,0.00,0.36,0.80,0.00,0,0,0,-0.12,0,,46.2
170,0,288.25,6.26,-9.77,0.57,-1.02,-0.85,-0.59,0,0.00,0.87,0.10,0.00,0,0,0,-0.12,0,,46.2
171,0,288.19,6.21,-9.84,0.56,-0.68,-1.48,0.00,0,0.00,0.85,0.00,0.29,0,0,0,-0.12,0,,46.2
172,0,288.12,6.18,-9.95,0.76,-0.59,-1.82,6.92,1,0.67,0.00,0.52,0.00,1,0,0,-0.43,0,,46.6
173,0,288.06,6.13,-10.07,1.17,-0.66,-1.84,5.60,0,0.00,0.91,0.00,0.19,0,0,0,-0.12,0,,46.6
174,0,287.99,6.09,-10.19,1.48,-0.76,-1.98,4.34,0,0.18,0.00,0.86,0.00,0,0,0,-0.12,0,,46.6
175,0,287.93,6.04,-10.32,1.71,-0.81,-2.02,3.08,0,0.00,0.48,0.00,0.81,0,0,0,-0.12,0,,46.6
176,0,287.87,5.99,-10.45,1.87,-0.76,-2.01,1.76,0,0.73,0.00,0.57,0.00,1,0,0,-0.12,0,,46.6
177,0,287.80,5.94,-10.57,1.94,-0.74,-1.96,0.50,0,0.00,0.43,0.00,0.83,0,0,0,-0.12,0,,46.6
178,0,287.74,5.90,-10.70,1.93,-0.72,-2.08,-0.76,0,0.00,0.21,0.89,0.00,1,0,0,-0.12,0,,46.6
179,0,287.67,5.84,-10.84,1.83,-1.00,-2.06,-2.08,0,0.48,0.00,0.74,0.00,0,0,0,0.88,0,,45.6
180,0,287.61,5.77,-10.97,1.66,-1.01,-1.93,-3.34,0,0.44,0.00,0.00,0.76,0,0,0,-0.53,0,,46.0
181,0,287.55,5.71,-11.08,1.41,-0.99,-1.90,-4.60,0,0.00,0.25,0.86,0.00,0,0,0,-0.12,0,,46.0
182,0,287.48,5.64,-11.21,1.06,-1.27,-1.92,-5.92,0,0.30,0.00,0.76,0.00,1,0,0,-0.12,0,,46.0
183,0,287.42,5.55,-11.33,0.64,-1.33,-1.76,-7.18,0,0.83,0.00,0.00,0.55,0,1,0,-0.12,0,,46.0
184,0,287.36,5.43,-11.36,0.73,-1.99,-0.37,2.64,0,0.00,0.91,0.12,0.00,1,0,0,-0.12,0,,46.0
185,0,287.29,5.30,-11.40,0.86,-1.90,-0.49,1.32,0,0.37,0.00,0.00,0.79,0,0,0,-0.12,0,,46.0
186,0,287.23,5.19,-11.43,0.90,-1.92,-0.48,0.06,0,0.00,0.25,0.89,0.00,0,0,0,-0.12,0,,46.0
187,0,287.16,5.06,-11.46,0.86,-2.09,-0.41,-1.20,1,0.92,0.00,0.00,0.05,0,0,0,-0.02,0,,46.0
188,0,287.10,4.92,-11.47,0.74,-2.05,-0.14,-2.52,0,0.81,0.00,0.00,0.29,0,0,0,-0.12,0,,46.0
189,0,287.03,4.80,-11.47,0.58,-0.83,0.06,1.63,0,0.85,0.00,0.00,0.25,0,0,0,0.88,0,,45.0
190,0,286.97,4.76,-11.47,0.64,-0.60,0.10,0.37,0,0.00,0.07,0.00,1.00,0,1,0,-0.12,0,,45.0
191,0,286.90,4.72,-11.46,0.62,-0.56,0.02,-0.95,0,0.00,0.34,0.84,0.00,1,0,0,-0.12,0,,45.0
192,0,286.84,4.66,-11.47,0.58,-1.37,-0.30,0.35,0,0.00,0.85,0.00,0.27,0,0,0,-0.12,0,,45.0
193,0,286.78,4.58,-11.50,0.62,-0.85,-0.61,7.35,0,0.00,0.08,0.00,0.90,1,0,0,-0.12,0,,45.0
194,0,286.71,4.53,-11.53,1.06,-0.77,-0.44,6.03,0,0.86,0.00,0.01,0.00,0,0,0,-0.12,0,,45.0
