update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
83723,191015819,12071,15555.0394,-0.005443,0.013342,0.498479
83724,191024010,12072,15597.0575,-0.003644,0.023568,0.498768
83725,191032202,12072,15597.0575,-0.003249,0.014208,0.498863
83726,191040392,12073,15584.3403,-0.002230,0.024788,0.498692
83727,191048582,12074,15603.0833,-0.000557,0.016376,0.499034
83728,191056774,12074,15603.0833,-0.004822,0.014945,0.499253
83729,191064964,12075,15594.2084,-0.002931,0.016499,0.498895
83730,191073154,12076,15561.3281,-0.004865,0.010191,0.498435
83731,191081344,12077,15562.7597,-0.006166,0.018460,0.498064
83732,191089536,12077,15562.7597,-0.003729,0.018304,0.497962
83733,191097727,12078,15556.0776,-0.002000,0.028328,0.498134
83734,191105918,12079,15554.3662,-0.000113,0.022544,0.498401
83735,191114109,12080,15545.4692,-0.006999,0.017718,0.498933
83736,191122301,12080,15545.4692,-0.000636,0.021618,0.499209
83737,191130492,12081,15552.5989,-0.002483,0.009396,0.499283
83738,191138682,12082,15565.8197,-0.006228,0.021252,0.499297
83739,191146874,12082,15565.8197,-0.005406,0.018127,0.499127
83740,191155064,12083,15565.9331,-0.006192,0.022540,0.498959
83741,191163255,12084,15520.4398,-0.001363,0.017998,0.498732
83742,191171446,12085,15505.8400,0.004283,0.028746,0.498520
83743,191179638,12085,15505.8400,-0.004677,0.025674,0.498161
83744,191187829,12086,15464.8984,-0.001213,0.019360,0.497952
83745,191196019,12087,15476.1900,-0.004402,0.021482,0.497963
83746,191204211,12087,15476.1900,-0.006088,0.021596,0.497954
83747,191212402,12088,15447.4914,-0.005250,0.017122,0.497807
83748,191220592,12089,15429.1484,-0.003575,0.015931,0.497847
83749,191228783,12090,15408.3245,-0.001326,0.029423,0.497964
83750,191236975,12090,15408.3245,-0.004656,0.009868,0.498142
83751,191245165,12091,15455.1604,-0.003528,0.014351,0.498043
83752,191253356,12092,15436.5962,-0.003343,0.017299,0.497783
83753,191261547,12093,15477.6737,-0.005959,0.009651,0.497564
83754,191269739,12093,15477.6737,-0.001802,0.010267,0.497566
83755,191277930,12094,15497.1930,-0.004543,0.010585,0.497311
83756,191286121,12095,15480.7088,-0.003500,0.027411,0.497373
83757,191294313,12095,15480.7088,-0.004712,0.021869,0.497744
83758,191302504,12096,15435.2289,-0.003088,0.020277,0.497679
83759,191310694,12097,15484.9915,-0.004266,0.014835,0.497562
83760,191318884,12098,15445.2204,-0.001103,0.022455,0.497522
83761,191327076,12098,15445.2204,-0.002988,0.011880,0.497462
83762,191335267,12099,15431.1578,-0.005806,0.012336,0.497544
83763,191343458,12100,15434.5810,-0.005011,0.026738,0.497747
83764,191351650,12100,15434.5810,-0.001191,0.018131,0.497628
83765,191359841,12101,15404.6999,-0.002593,0.019799,0.497563
83766,191368032,12102,15364.9866,-0.001992,0.020984,0.497524
83767,191376223,12103,15421.3080,-0.005086,0.017660,0.497433
83768,191384415,12103,15421.3080,-0.004303,0.012719,0.497579
83769,191392606,12104,15408.1265,-0.003291,0.016114,0.497859
83770,191400797,12105,15397.2284,-0.002698,0.030749,0.497907
83771,191408989,12105,15397.2284,-0.004194,0.007727,0.497991
83772,191417180,12106,15487.9445,-0.005574,0.018372,0.498078
83773,191425371,12107,15508.9785,-0.005324,0.017350,0.497818
83774,191433561,12108,15492.7949,-0.001751,0.036620,0.497604
83775,191441753,12108,15492.7949,-0.002637,0.018193,0.497504
83776,191449944,12109,15496.4221,-0.004184,0.010854,0.497379
83777,191458134,12110,15521.6600,-0.003562,0.016635,0.497377
83778,191466324,12111,15490.9766,-0.004852,0.017347,0.497359
83779,191474516,12111,15490.9766,-0.005028,0.013676,0.497546
83780,191482707,12112,15497.3392,-0.002286,0.009007,0.497371
83781,191490898,12113,15553.5862,-0.004356,0.020916,0.497325
83782,191499090,12113,15553.5862,-0.003841,0.012628,0.497415
83783,191507281,12114,15562.4478,-0.002755,0.011088,0.497428
83784,191515471,12115,15649.5241,-0.005358,0.012103,0.497575
83785,191523662,12116,15665.8204,-0.003850,0.009236,0.497726
83786,191531854,12116,15665.8204,-0.001285,0.019839,0.497995
83787,191540045,12117,15647.3605,-0.007435,0.021473,0.498503
83788,191548235,12118,15703.7566,-0.004785,0.009174,0.498844
83789,191556427,12118,15703.7566,-0.004793,0.023608,0.498437
83790,191564618,12119,15723.5680,-0.005085,0.027766,0.498663
83791,191572808,12120,15774.6815,-0.005256,0.010417,0.499092
83792,191580999,12121,15802.5566,-0.004964,0.010019,0.499052
83793,191589191,12121,15802.5566,-0.001380,0.012564,0.499046
83794,191597382,12122,15766.0993,-0.003583,0.010338,0.499285
83795,191605573,12123,15811.8713,0.003347,0.007552,0.499684
83796,191613765,12123,15811.8713,-0.004607,0.012789,0.500048
83797,191621955,12124,15808.1752,0.003199,0.014556,0.500510
83798,191630145,12125,15853.5420,-0.003010,0.014345,0.500772
83799,191638335,12126,15831.4693,-0.005193,0.017605,0.500711
83800,191646527,12126,15831.4693,-0.006738,0.010482,0.500717
83801,191654718,12127,15851.6912,-0.002354,0.007589,0.500746
83802,191662909,12128,15818.9505,-0.002722,0.006772,0.501003
83803,191671099,12129,15837.3663,-0.002568,0.014401,0.501217
83804,191679291,12129,15837.3663,-0.005146,0.012215,0.501494
83805,191687482,12130,15862.4223,-0.005115,0.014226,0.501655
83806,191695673,12131,15899.6685,-0.005289,0.008273,0.501546
83807,191703865,12131,15899.6685,-0.006833,0.011986,0.501367
83808,191712055,12132,15906.9283,-0.003449,0.021949,0.501471
83809,191720246,12133,15896.2230,-0.001455,0.028433,0.501511
83810,191728437,12134,15877.3557,-0.008656,0.020775,0.501153
83811,191736629,12134,15877.3557,-0.003794,0.011145,0.501250
83812,191744820,12135,15880.6574,-0.003243,0.013197,0.501560
83813,191753011,12136,15923.0220,-0.001501,0.012764,0.501539
83814,191761203,12136,15923.0220,-0.001910,0.013072,0.501525
83815,191769394,12137,15903.9615,-0.001906,0.019005,0.501312
83816,191777585,12138,15912.7263,-0.005827,0.020417,0.500897
83817,191785776,12139,15907.1303,-0.005502,0.010753,0.500891
83818,191793968,12139,15907.1303,-0.002696,0.007745,0.501012
83819,191802159,12140,15968.7861,-0.006974,0.007415,0.500811
83820,191810350,12141,15989.7647,-0.005482,0.018041,0.500685
83821,191818542,12141,15989.7647,-0.001556,0.010764,0.500457
83822,191826733,12142,16043.0365,-0.003227,0.012287,0.500350
83823,191834924,12143,16087.9151,-0.002236,0.011244,0.500504
83824,191843114,12144,16188.9996,-0.003279,0.015104,0.500587
83825,191851306,12144,16188.9996,-0.001740,0.009910,0.500283
