tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
529,-13.854,27.549,20.840,6.510,-2.897,0,12.567,0.654,-12.549,-0.759,-0.992,0.983,0.000,0.000
533,-13.452,27.340,20.840,5.716,-3.396,0,12.344,0.252,-12.340,-0.847,-0.574,0.987,0.000,0.000
537,-13.120,27.115,20.840,4.875,-3.688,0,12.116,-0.080,-12.115,-1.142,-0.768,0.989,0.000,0.000
541,-12.842,26.875,20.840,4.008,-3.917,0,11.881,-0.358,-11.875,-0.195,1.040,0.988,0.000,0.000
545,-12.599,26.627,20.840,3.501,-3.391,0,11.643,-0.601,-11.627,-1.689,0.589,0.989,0.000,0.000
549,-12.397,26.433,20.840,2.830,-2.888,0,11.461,-0.803,-11.433,-1.305,-0.281,0.991,0.000,0.000
553,-12.248,26.256,20.840,1.957,-2.818,0,11.297,-0.952,-11.256,-0.413,-0.540,0.987,0.000,0.000
557,-12.148,26.060,20.840,1.164,-3.221,0,11.111,-1.052,-11.060,-0.987,-0.346,0.986,0.000,0.000
561,-12.100,25.846,20.840,0.342,-3.476,0,10.902,-1.100,-10.846,-1.319,-0.399,0.987,0.000,0.000
565,-12.108,25.623,20.840,-0.549,-3.563,0,10.680,-1.092,-10.623,-0.655,0.162,0.985,0.000,0.000
569,-12.176,25.393,20.840,-1.431,-3.323,0,10.445,-1.024,-10.393,-0.511,-0.522,0.989,0.000,0.000
573,-12.289,25.181,20.840,-2.087,-3.571,0,10.223,-0.911,-10.181,-0.462,-1.107,0.985,0.000,0.000
577,-12.434,24.938,20.840,-2.441,-4.165,0,9.968,-0.765,-9.938,0.298,-0.755,0.986,0.000,0.000
581,-12.586,24.655,20.840,-2.229,-4.770,0,9.675,-0.614,-9.655,0.363,-0.266,0.985,0.000,0.000
585,-12.711,24.324,20.840,-1.497,-5.158,0,9.338,-0.489,-9.324,0.150,-1.332,0.985,0.000,0.000
589,-12.790,23.985,20.840,-1.172,-5.664,0,8.995,-0.410,-8.985,0.419,-0.212,0.977,0.000,0.000
593,-12.851,23.598,20.840,-0.542,-5.931,0,8.606,-0.349,-8.598,1.011,-0.369,0.972,0.000,0.000
597,-12.858,23.223,20.840,0.278,-5.959,0,8.231,-0.342,-8.223,0.638,-0.398,0.976,0.000,0.000
601,-12.814,22.847,20.840,1.064,-5.959,0,7.858,-0.386,-7.847,0.494,-0.960,0.977,0.000,0.000
605,-12.717,22.454,20.840,1.835,-5.959,0,7.471,-0.483,-7.454,-0.358,-1.254,0.980,0.000,0.000
609,-12.578,22.079,20.840,2.526,-5.959,0,7.107,-0.622,-7.079,-0.457,-1.132,0.982,0.000,0.000
613,-12.398,21.703,20.840,3.174,-5.959,0,6.753,-0.803,-6.703,-1.073,-1.036,0.979,0.000,0.000
617,-12.166,21.310,20.840,3.810,-5.959,0,6.396,-1.034,-6.310,-0.589,-0.714,0.971,0.000,0.000
621,-11.907,20.935,20.840,4.380,-5.959,0,6.075,-1.293,-5.935,-0.657,-0.634,0.984,0.000,0.000
625,-11.613,20.559,20.840,4.914,-5.959,0,5.783,-1.587,-5.559,-1.481,-0.219,0.983,0.000,0.000
629,-11.270,20.166,20.840,5.440,-5.959,0,5.516,-1.930,-5.166,-0.368,0.193,0.985,0.000,0.000
633,-10.912,19.791,20.840,5.910,-5.959,0,5.311,-2.288,-4.791,-0.962,0.007,0.988,0.000,0.000
637,-10.525,19.415,20.840,6.351,-5.959,0,5.164,-2.675,-4.415,-0.853,0.429,0.988,0.000,0.000
641,-10.091,19.022,20.840,6.784,-5.959,0,5.085,-3.109,-4.022,-0.372,0.878,0.991,0.000,0.000
645,-9.667,18.691,20.867,4.284,1.992,4.824,5.112,-3.533,-3.691,-0.668,-0.217,0.992,0.000,0.000
649,-9.388,18.813,21.129,4.560,1.874,3.564,5.409,-3.812,-3.813,-1.003,-0.100,0.992,0.000,0.000
653,-9.077,18.932,21.319,4.849,1.750,2.244,5.731,-4.123,-3.932,-0.618,-0.645,0.991,0.000,0.000
657,-8.762,19.038,21.419,5.124,1.632,0.984,6.043,-4.438,-4.038,-1.600,-0.562,0.989,0.000,0.000
661,-8.430,19.137,21.439,5.400,1.514,-0.276,6.357,-4.770,-4.137,-1.333,-0.661,0.993,0.000,0.000
665,-8.064,19.233,21.375,5.689,1.391,-1.596,6.690,-5.136,-4.233,-0.539,-0.737,0.994,0.000,0.000
669,-7.696,19.317,21.233,5.964,1.272,-2.856,7.015,-5.504,-4.317,-0.741,-0.503,0.992,0.000,0.000
673,-7.311,19.393,21.012,6.240,1.154,-4.116,7.353,-5.889,-4.393,-0.321,-0.641,0.991,0.000,0.000
677,-6.890,19.465,20.695,6.529,1.030,-5.436,7.730,-6.310,-4.465,-0.716,-0.450,0.992,0.000,0.000
681,-6.479,19.525,20.311,6.396,0.895,-6.696,8.112,-6.721,-4.525,-0.923,-1.126,0.992,0.000,0.000
685,-6.083,19.573,19.847,6.180,0.647,-7.956,8.502,-7.117,-4.573,-0.846,-0.163,0.994,0.000,0.000
689,-5.685,19.610,19.276,5.883,0.505,-9.276,8.931,-7.515,-4.610,-0.085,-1.529,0.993,0.000,0.000
