update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
275,140800,15,-24.6273,-0.002718,0.012392,1.788894
276,141312,15,-24.6273,-0.000229,0.014198,1.689670
277,141824,15,-24.6273,-0.005024,0.003263,1.682515
278,142336,15,-24.6273,-0.001794,0.040489,1.595999
279,142848,15,-24.6273,-0.002896,0.033091,1.563896
280,143360,15,-24.6273,-0.000912,0.021344,1.689923
281,143872,15,-24.6273,-0.004934,3.280935,1.576024
282,144384,15,-24.6273,-0.005265,3.157720,1.364834
283,144896,15,-24.6273,-0.000506,0.125893,1.334716
284,145408,15,-24.6273,-0.002081,2.881002,1.481193
285,145920,15,-24.6273,-0.004471,0.049696,1.477490
286,146432,16,0.3248,-0.009526,0.133042,1.246284
287,146944,16,0.3248,0.000424,0.117832,1.166090
288,147456,16,0.3248,-0.002933,0.034040,1.256775
289,147968,16,0.3248,-0.001613,0.065034,1.109957
290,148480,16,0.3248,0.000326,0.050384,1.237753
291,148992,16,0.3248,-0.000681,0.018699,1.192951
292,149504,432,0.0000,0.000092,3.133875,1.118531
293,150016,944,0.0000,0.002533,1.315273,1.211964
294,150528,1456,0.0000,-0.002058,0.268886,1.233883
295,151040,1891,0.0000,-0.004557,0.053849,1.335974
296,151552,1891,0.0000,-0.003673,0.032591,1.390744
297,152064,1891,0.0000,-0.003047,0.029892,1.532138
298,152576,1891,0.0000,0.000105,0.045364,1.530382
299,153088,1891,0.0000,-0.000483,0.008430,1.531328
300,153600,1891,0.0000,-0.002011,0.039258,1.605869
301,154112,1891,0.0000,-0.001743,0.029723,1.727943
302,154624,1891,0.0000,-0.002544,0.007571,1.708504
303,155136,1891,0.0000,0.000274,0.018580,1.629123
304,155648,1891,0.0000,-0.005693,0.017714,1.773429
305,156160,1891,0.0000,-0.005959,0.044101,1.949269
306,156672,1891,0.0000,-0.001982,0.003723,1.913601
307,157184,1891,0.0000,-0.007733,0.018520,1.988005
308,157696,1891,0.0000,-0.001662,0.016879,2.021931
309,158208,1892,-2.7703,-0.002926,0.004620,2.149764
310,158720,1892,-2.7703,-0.006730,0.001076,2.172469
311,159232,1892,-2.7703,-0.004269,0.000175,2.185041
312,159744,1892,-2.7703,-0.000120,0.000041,2.184290
313,160256,1892,-2.7703,-0.010955,0.000024,2.175124
314,160768,1892,-2.7703,-0.004884,0.000068,2.175272
315,161280,1892,-2.7703,-0.000515,0.000097,2.175755
316,161792,1892,-2.7703,-0.002351,0.000098,2.179743
317,162304,1892,-2.7703,0.000808,0.000106,2.165497
318,162816,1892,-2.7703,-0.001245,0.000131,2.169412
319,163328,1892,-2.7703,-0.004539,0.000046,2.151972
320,163840,1892,-2.7703,-0.007952,0.000014,2.166993
321,164352,1892,-2.7703,-0.001676,0.022871,2.110965
322,164864,1892,-2.7703,-0.004958,0.000384,2.125645
323,165376,1893,-3.0492,-0.002072,0.001952,2.159249
324,165888,1893,-3.0492,-0.003637,0.044081,2.116689
325,166400,1893,-3.0492,-0.000362,0.000174,2.155833
326,166912,1893,-3.0492,-0.000889,0.016907,2.158091
327,167424,1893,-3.0492,-0.000538,0.000253,2.156761
328,167936,1893,-3.0492,-0.000322,0.000189,2.158355
329,168448,1893,-3.0492,-0.010361,0.042949,2.136250
330,168960,1893,-3.0492,-0.001718,0.001911,2.134161
331,169472,1893,-3.0492,-0.008211,0.014839,2.131763
332,169984,1893,-3.0492,-0.007524,0.000570,2.043042
333,170496,1893,-3.0492,-0.002181,0.000153,2.139874
334,171008,1893,-3.0492,-0.000453,0.001194,2.131072
335,171520,1893,-3.0492,-0.001817,0.011599,2.135927
336,172032,1893,-3.0492,-0.013702,0.000350,2.112838
337,172544,1893,-3.0492,-0.003562,0.034616,2.059195
338,173056,1893,-3.0492,-0.002573,0.004228,2.022392
339,173568,1893,-3.0492,-0.005888,0.014357,2.066476
340,174080,1893,-3.0492,-0.003056,0.000080,2.097284
341,174592,1893,-3.0492,-0.004853,0.001698,2.043551
342,175104,1893,-3.0492,-0.001999,0.036715,1.991528
343,175616,1893,-3.0492,-0.004649,0.000900,2.108966
344,176128,1893,-3.0492,-0.003631,0.009617,2.079918
345,176640,1893,-3.0492,-0.002516,0.000051,2.119239
346,177152,1894,-5.3167,-0.001243,0.000559,2.125966
347,177664,1894,-5.3167,-0.000998,0.009426,2.043669
348,178176,1894,-5.3167,-0.003783,0.000155,2.108466
349,178688,1894,-5.3167,-0.007847,0.030434,2.098087
350,179200,1894,-5.3167,-0.000580,0.003540,2.059510
351,179712,1894,-5.3167,-0.004808,0.003754,2.119628
352,180224,1894,-5.3167,-0.001184,0.009213,2.086842
353,180736,1894,-5.3167,-0.000921,0.001311,2.090732
354,181248,1894,-5.3167,-0.001295,0.026877,1.970549
355,181760,1894,-5.3167,-0.002796,0.000383,2.035649
356,182272,1894,-5.3167,-0.004346,0.009688,1.971281
357,182784,1894,-5.3167,-0.000841,0.025050,1.919687
